distance,accuracy_diff,smooth,model
2.0,0.005554421242942385,,MegaPlantTF
3.0,0.0053483893237593425,0.005121113473864031,MegaPlantTF
4.0,0.004460529854890366,0.004830615608353162,MegaPlantTF
5.0,0.004682927646409776,0.0047960025989533354,MegaPlantTF
6.0,0.0052445502955598645,0.004967032788478922,MegaPlantTF
7.0,0.004973620423467124,0.005029599856339398,MegaPlantTF
8.0,0.004870628849991205,0.0050079317486158995,MegaPlantTF
9.0,0.005179545972389369,0.004949593287386515,MegaPlantTF
10.0,0.004798605039778971,0.0050484036797879125,MegaPlantTF
11.0,0.0051670600271953955,0.005181467285430732,MegaPlantTF
12.0,0.0055787367893178315,0.005253878787894892,MegaPlantTF
13.0,0.00501583954717145,0.00554751211284463,MegaPlantTF
14.0,0.006047960002044607,0.005621390437052661,MegaPlantTF
15.0,0.005800371761941925,0.006215912714146696,MegaPlantTF
16.0,0.006799406378453557,0.006630439549861439,MegaPlantTF
17.0,0.007291540509188834,0.007319793334990558,MegaPlantTF
18.0,0.007868433117329281,0.008472071231297075,MegaPlantTF
19.0,0.010256240067373109,0.010021970143244317,MegaPlantTF
20.0,0.01194123724503056,0.01114157849048212,MegaPlantTF
21.0,0.011227258159042687,0.01145496652561076,MegaPlantTF
22.0,0.011196404172759033,0.010595697393271028,MegaPlantTF
23.0,0.009363429848011362,,MegaPlantTF
